key,date,value
johnnypresidente,1390176000000,0
johnnypresidente,1390176060000,0
johnnypresidente,1390176120000,0
johnnypresidente,1390176180000,0
johnnypresidente,1390176240000,0
johnnypresidente,1390176300000,0
johnnypresidente,1390176360000,0
johnnypresidente,1390176420000,0
johnnypresidente,1390176480000,0
johnnypresidente,1390176540000,0
johnnypresidente,1390176600000,0
johnnypresidente,1390176660000,0
johnnypresidente,1390176720000,0
johnnypresidente,1390176780000,0
johnnypresidente,1390176840000,0
johnnypresidente,1390176900000,0
johnnypresidente,1390176960000,0
johnnypresidente,1390177020000,0
johnnypresidente,1390177080000,0
johnnypresidente,1390177140000,0
johnnypresidente,1390177200000,0
johnnypresidente,1390177260000,0
johnnypresidente,1390177320000,0
johnnypresidente,1390177380000,0
johnnypresidente,1390177440000,0
johnnypresidente,1390177500000,0
johnnypresidente,1390177560000,0
johnnypresidente,1390177620000,1
johnnypresidente,1390177680000,0
johnnypresidente,1390177740000,1
johnnypresidente,1390177800000,1
johnnypresidente,1390177860000,0
johnnypresidente,1390177920000,0
johnnypresidente,1390177980000,0
johnnypresidente,1390178040000,0
johnnypresidente,1390178100000,0
johnnypresidente,1390178160000,0
johnnypresidente,1390178220000,1
johnnypresidente,1390178280000,2
johnnypresidente,1390178340000,0
johnnypresidente,1390178400000,3
johnnypresidente,1390178460000,9
johnnypresidente,1390178520000,4
johnnypresidente,1390178580000,7
johnnypresidente,1390178640000,8
johnnypresidente,1390178700000,13
johnnypresidente,1390178760000,9
johnnypresidente,1390178820000,8
johnnypresidente,1390178880000,5
johnnypresidente,1390178940000,7
johnnypresidente,1390179000000,15
johnnypresidente,1390179060000,10
johnnypresidente,1390179120000,5
johnnypresidente,1390179180000,7
johnnypresidente,1390179240000,3
johnnypresidente,1390179300000,4
johnnypresidente,1390179360000,8
johnnypresidente,1390179420000,8
johnnypresidente,1390179480000,13
johnnypresidente,1390179540000,18
johnnypresidente,1390179600000,27
johnnypresidente,1390179660000,24
johnnypresidente,1390179720000,17
johnnypresidente,1390179780000,31
johnnypresidente,1390179840000,18
johnnypresidente,1390179900000,17
johnnypresidente,1390179960000,31
johnnypresidente,1390180020000,34
johnnypresidente,1390180080000,30
johnnypresidente,1390180140000,35
johnnypresidente,1390180200000,29
johnnypresidente,1390180260000,24
johnnypresidente,1390180320000,40
johnnypresidente,1390180380000,39
johnnypresidente,1390180440000,40
johnnypresidente,1390180500000,45
johnnypresidente,1390180560000,41
johnnypresidente,1390180620000,57
johnnypresidente,1390180680000,43
johnnypresidente,1390180740000,43
johnnypresidente,1390180800000,54
johnnypresidente,1390180860000,55
johnnypresidente,1390180920000,37
johnnypresidente,1390180980000,39
johnnypresidente,1390181040000,23
johnnypresidente,1390181100000,43
johnnypresidente,1390181160000,24
johnnypresidente,1390181220000,39
johnnypresidente,1390181280000,31
johnnypresidente,1390181340000,37
johnnypresidente,1390181400000,18
johnnypresidente,1390181460000,32
johnnypresidente,1390181520000,30
johnnypresidente,1390181580000,44
johnnypresidente,1390181640000,47
johnnypresidente,1390181700000,38
johnnypresidente,1390181760000,48
johnnypresidente,1390181820000,28
johnnypresidente,1390181880000,23
johnnypresidente,1390181940000,27
johnnypresidente,1390182000000,24
johnnypresidente,1390182060000,25
johnnypresidente,1390182120000,16
johnnypresidente,1390182180000,17
johnnypresidente,1390182240000,25
johnnypresidente,1390182300000,27
johnnypresidente,1390182360000,23
johnnypresidente,1390182420000,12
johnnypresidente,1390182480000,18
johnnypresidente,1390182540000,26
johnnypresidente,1390182600000,48
johnnypresidente,1390182660000,26
johnnypresidente,1390182720000,31
johnnypresidente,1390182780000,23
johnnypresidente,1390182840000,25
johnnypresidente,1390182900000,31
johnnypresidente,1390182960000,54
johnnypresidente,1390183020000,57
johnnypresidente,1390183080000,52
johnnypresidente,1390183140000,36
johnnypresidente,1390183200000,46
johnnypresidente,1390183260000,47
johnnypresidente,1390183320000,19
johnnypresidente,1390183380000,33
johnnypresidente,1390183440000,39
johnnypresidente,1390183500000,45
johnnypresidente,1390183560000,26
johnnypresidente,1390183620000,34
johnnypresidente,1390183680000,28
johnnypresidente,1390183740000,37
johnnypresidente,1390183800000,25
johnnypresidente,1390183860000,20
johnnypresidente,1390183920000,30
johnnypresidente,1390183980000,15
johnnypresidente,1390184040000,13
johnnypresidente,1390184100000,9
johnnypresidente,1390184160000,18
johnnypresidente,1390184220000,24
johnnypresidente,1390184280000,24
johnnypresidente,1390184340000,35
johnnypresidente,1390184400000,25
johnnypresidente,1390184460000,42
johnnypresidente,1390184520000,37
johnnypresidente,1390184580000,32
johnnypresidente,1390184640000,30
johnnypresidente,1390184700000,26
johnnypresidente,1390184760000,33
johnnypresidente,1390184820000,28
johnnypresidente,1390184880000,33
johnnypresidente,1390184940000,25
johnnypresidente,1390185000000,19
johnnypresidente,1390185060000,37
johnnypresidente,1390185120000,39
johnnypresidente,1390185180000,45
johnnypresidente,1390185240000,12
johnnypresidente,1390185300000,6
johnnypresidente,1390185360000,8
johnnypresidente,1390185420000,5
johnnypresidente,1390185480000,7
johnnypresidente,1390185540000,5
johnnypresidente,1390185600000,4
johnnypresidente,1390185660000,8
johnnypresidente,1390185720000,10
johnnypresidente,1390185780000,14
johnnypresidente,1390185840000,13
johnnypresidente,1390185900000,9
johnnypresidente,1390185960000,13
johnnypresidente,1390186020000,25
johnnypresidente,1390186080000,17
johnnypresidente,1390186140000,20
johnnypresidente,1390186200000,14
johnnypresidente,1390186260000,19
johnnypresidente,1390186320000,19
johnnypresidente,1390186380000,29
johnnypresidente,1390186440000,17
johnnypresidente,1390186500000,21
johnnypresidente,1390186560000,29
johnnypresidente,1390186620000,19
