key,date,value
araya,1390176000000,0
araya,1390176180000,0
araya,1390176360000,0
araya,1390176540000,0
araya,1390176720000,0
araya,1390176900000,0
araya,1390177080000,0
araya,1390177260000,1
araya,1390177440000,5
araya,1390177620000,5
araya,1390177800000,10
araya,1390177980000,6
araya,1390178160000,7
araya,1390178340000,40
araya,1390178520000,64
araya,1390178700000,53
araya,1390178880000,50
araya,1390179060000,44
araya,1390179240000,28
araya,1390179420000,72
araya,1390179600000,117
araya,1390179780000,138
araya,1390179960000,188
araya,1390180140000,202
araya,1390180320000,234
araya,1390180500000,290
araya,1390180680000,244
araya,1390180860000,290
araya,1390181040000,243
araya,1390181220000,216
araya,1390181400000,187
araya,1390181580000,273
araya,1390181760000,266
araya,1390181940000,163
araya,1390182120000,135
araya,1390182300000,240
araya,1390182480000,191
araya,1390182660000,169
araya,1390182840000,238
araya,1390183020000,289
araya,1390183200000,187
araya,1390183380000,206
araya,1390183560000,213
araya,1390183740000,231
araya,1390183920000,166
araya,1390184100000,157
araya,1390184280000,180
araya,1390184460000,213
araya,1390184640000,198
araya,1390184820000,182
araya,1390185000000,180
araya,1390185180000,121
araya,1390185360000,82
araya,1390185540000,60
araya,1390185720000,78
araya,1390185900000,91
araya,1390186080000,135
araya,1390186260000,181
araya,1390186440000,173
araya,1390186620000,127
araya,1390186800000,109
araya,1390186980000,186
araya,1390187160000,253
araya,1390187340000,175
araya,1390187520000,131
araya,1390187700000,99
araya,1390187880000,117
araya,1390188060000,112
araya,1390188240000,134
araya,1390188420000,178
araya,1390188600000,271
araya,1390188780000,178
araya,1390188960000,76
araya,1390189140000,43
araya,1390189320000,39
araya,1390189500000,43
araya,1390189680000,52
araya,1390189860000,32
araya,1390190040000,12
araya,1390190220000,20
araya,1390190400000,22
araya,1390190580000,3
araya,1390190760000,9
araya,1390190940000,6
araya,1390191120000,7
araya,1390191300000,2
araya,1390191480000,10
araya,1390191660000,5
araya,1390191840000,14
araya,1390192020000,17
araya,1390192200000,3
araya,1390192380000,8
araya,1390192560000,10
araya,1390192740000,5
araya,1390192920000,7
araya,1390193100000,10
araya,1390193280000,11
araya,1390193460000,6
araya,1390193640000,13
araya,1390193820000,14
araya,1390194000000,10
araya,1390194180000,2
araya,1390194360000,3
araya,1390194540000,2
araya,1390194720000,0
araya,1390194900000,4
araya,1390195080000,5
araya,1390195260000,2
araya,1390195440000,5
araya,1390195620000,1
araya,1390195800000,0
araya,1390195980000,3
araya,1390196160000,6
araya,1390196340000,3
araya,1390196520000,3
araya,1390196700000,2
araya,1390196880000,2
araya,1390197060000,4
araya,1390197240000,2
araya,1390197420000,0
guevara,1390176000000,0
guevara,1390176180000,0
guevara,1390176360000,0
guevara,1390176540000,0
guevara,1390176720000,0
guevara,1390176900000,0
guevara,1390177080000,0
guevara,1390177260000,0
guevara,1390177440000,0
guevara,1390177620000,0
guevara,1390177800000,0
guevara,1390177980000,0
guevara,1390178160000,0
guevara,1390178340000,1
guevara,1390178520000,0
guevara,1390178700000,0
guevara,1390178880000,0
guevara,1390179060000,1
guevara,1390179240000,2
guevara,1390179420000,0
guevara,1390179600000,6
guevara,1390179780000,3
guevara,1390179960000,10
guevara,1390180140000,51
guevara,1390180320000,12
guevara,1390180500000,21
guevara,1390180680000,49
guevara,1390180860000,23
guevara,1390181040000,30
guevara,1390181220000,33
guevara,1390181400000,17
guevara,1390181580000,21
guevara,1390181760000,18
guevara,1390181940000,41
guevara,1390182120000,35
guevara,1390182300000,38
guevara,1390182480000,23
guevara,1390182660000,14
guevara,1390182840000,11
guevara,1390183020000,37
guevara,1390183200000,13
guevara,1390183380000,38
guevara,1390183560000,34
guevara,1390183740000,46
guevara,1390183920000,35
guevara,1390184100000,48
guevara,1390184280000,42
guevara,1390184460000,25
guevara,1390184640000,42
guevara,1390184820000,18
guevara,1390185000000,12
guevara,1390185180000,15
guevara,1390185360000,15
guevara,1390185540000,7
guevara,1390185720000,9
guevara,1390185900000,42
guevara,1390186080000,39
guevara,1390186260000,11
guevara,1390186440000,22
guevara,1390186620000,11
guevara,1390186800000,8
guevara,1390186980000,8
guevara,1390187160000,14
guevara,1390187340000,3
guevara,1390187520000,5
guevara,1390187700000,17
guevara,1390187880000,6
guevara,1390188060000,9
guevara,1390188240000,7
guevara,1390188420000,7
guevara,1390188600000,11
guevara,1390188780000,33
guevara,1390188960000,10
guevara,1390189140000,10
guevara,1390189320000,11
guevara,1390189500000,3
guevara,1390189680000,3
guevara,1390189860000,1
guevara,1390190040000,5
guevara,1390190220000,3
guevara,1390190400000,2
guevara,1390190580000,1
guevara,1390190760000,2
guevara,1390190940000,0
guevara,1390191120000,0
guevara,1390191300000,2
guevara,1390191480000,0
guevara,1390191660000,0
guevara,1390191840000,1
guevara,1390192020000,0
guevara,1390192200000,0
guevara,1390192380000,0
guevara,1390192560000,0
guevara,1390192740000,0
guevara,1390192920000,0
guevara,1390193100000,0
guevara,1390193280000,0
guevara,1390193460000,0
guevara,1390193640000,0
guevara,1390193820000,0
guevara,1390194000000,1
guevara,1390194180000,1
guevara,1390194360000,0
guevara,1390194540000,1
guevara,1390194720000,0
guevara,1390194900000,0
guevara,1390195080000,1
guevara,1390195260000,2
guevara,1390195440000,1
guevara,1390195620000,0
guevara,1390195800000,0
guevara,1390195980000,0
guevara,1390196160000,0
guevara,1390196340000,0
guevara,1390196520000,1
guevara,1390196700000,0
guevara,1390196880000,0
guevara,1390197060000,0
guevara,1390197240000,0
guevara,1390197420000,0
piza,1390176000000,0
piza,1390176180000,0
piza,1390176360000,0
piza,1390176540000,0
piza,1390176720000,0
piza,1390176900000,0
piza,1390177080000,0
piza,1390177260000,0
piza,1390177440000,0
piza,1390177620000,0
piza,1390177800000,0
piza,1390177980000,0
piza,1390178160000,1
piza,1390178340000,0
piza,1390178520000,0
piza,1390178700000,1
piza,1390178880000,0
piza,1390179060000,1
piza,1390179240000,1
piza,1390179420000,1
piza,1390179600000,3
piza,1390179780000,2
piza,1390179960000,0
piza,1390180140000,12
piza,1390180320000,9
piza,1390180500000,5
piza,1390180680000,4
piza,1390180860000,3
piza,1390181040000,3
piza,1390181220000,5
piza,1390181400000,11
piza,1390181580000,13
piza,1390181760000,13
piza,1390181940000,23
piza,1390182120000,22
piza,1390182300000,14
piza,1390182480000,27
piza,1390182660000,16
piza,1390182840000,0
piza,1390183020000,7
piza,1390183200000,17
piza,1390183380000,22
piza,1390183560000,10
piza,1390183740000,5
piza,1390183920000,6
piza,1390184100000,9
piza,1390184280000,19
piza,1390184460000,18
piza,1390184640000,23
piza,1390184820000,15
piza,1390185000000,24
piza,1390185180000,34
piza,1390185360000,19
piza,1390185540000,11
piza,1390185720000,10
piza,1390185900000,12
piza,1390186080000,3
piza,1390186260000,14
piza,1390186440000,21
piza,1390186620000,28
piza,1390186800000,20
piza,1390186980000,11
piza,1390187160000,2
piza,1390187340000,3
piza,1390187520000,2
piza,1390187700000,18
piza,1390187880000,40
piza,1390188060000,25
piza,1390188240000,32
piza,1390188420000,41
piza,1390188600000,31
