key,date,value
araya,1390176000000,0
araya,1390176120000,0
araya,1390176240000,0
araya,1390176360000,0
araya,1390176480000,0
araya,1390176600000,0
araya,1390176720000,0
araya,1390176840000,0
araya,1390176960000,0
araya,1390177080000,0
araya,1390177200000,0
araya,1390177320000,1
araya,1390177440000,2
araya,1390177560000,5
araya,1390177680000,3
araya,1390177800000,4
araya,1390177920000,8
araya,1390178040000,4
araya,1390178160000,4
araya,1390178280000,10
araya,1390178400000,33
araya,1390178520000,43
araya,1390178640000,46
araya,1390178760000,28
araya,1390178880000,23
araya,1390179000000,45
araya,1390179120000,26
araya,1390179240000,15
araya,1390179360000,33
araya,1390179480000,52
araya,1390179600000,81
araya,1390179720000,85
araya,1390179840000,89
araya,1390179960000,115
araya,1390180080000,156
araya,1390180200000,119
araya,1390180320000,154
araya,1390180440000,177
araya,1390180560000,193
araya,1390180680000,154
araya,1390180800000,208
araya,1390180920000,172
araya,1390181040000,177
araya,1390181160000,143
araya,1390181280000,139
araya,1390181400000,118
araya,1390181520000,155
araya,1390181640000,187
araya,1390181760000,199
araya,1390181880000,121
araya,1390182000000,109
araya,1390182120000,66
araya,1390182240000,170
araya,1390182360000,139
araya,1390182480000,113
araya,1390182600000,128
araya,1390182720000,119
araya,1390182840000,136
araya,1390182960000,215
araya,1390183080000,176
araya,1390183200000,147
araya,1390183320000,98
araya,1390183440000,148
araya,1390183560000,145
araya,1390183680000,154
araya,1390183800000,145
araya,1390183920000,117
araya,1390184040000,96
araya,1390184160000,110
araya,1390184280000,115
araya,1390184400000,137
araya,1390184520000,141
araya,1390184640000,127
araya,1390184760000,125
araya,1390184880000,128
araya,1390185000000,117
araya,1390185120000,124
araya,1390185240000,60
araya,1390185360000,56
araya,1390185480000,41
araya,1390185600000,45
araya,1390185720000,44
araya,1390185840000,53
araya,1390185960000,72
araya,1390186080000,101
araya,1390186200000,79
araya,1390186320000,136
araya,1390186440000,111
araya,1390186560000,95
araya,1390186680000,94
araya,1390186800000,64
araya,1390186920000,95
araya,1390187040000,136
araya,1390187160000,186
araya,1390187280000,125
araya,1390187400000,117
araya,1390187520000,96
araya,1390187640000,63
araya,1390187760000,71
araya,1390187880000,93
araya,1390188000000,56
araya,1390188120000,80
araya,1390188240000,92
araya,1390188360000,101
araya,1390188480000,119
araya,1390188600000,173
araya,1390188720000,189
araya,1390188840000,87
araya,1390188960000,63
araya,1390189080000,28
araya,1390189200000,28
araya,1390189320000,31
araya,1390189440000,23
araya,1390189560000,28
araya,1390189680000,34
araya,1390189800000,37
araya,1390189920000,13
araya,1390190040000,9
araya,1390190160000,9
araya,1390190280000,14
araya,1390190400000,16
araya,1390190520000,6
araya,1390190640000,3
araya,1390190760000,6
araya,1390190880000,7
araya,1390191000000,2
araya,1390191120000,5
araya,1390191240000,2
araya,1390191360000,2
araya,1390191480000,4
araya,1390191600000,8
araya,1390191720000,3
araya,1390191840000,7
araya,1390191960000,11
araya,1390192080000,13
araya,1390192200000,1
araya,1390192320000,4
araya,1390192440000,6
araya,1390192560000,8
araya,1390192680000,2
araya,1390192800000,5
araya,1390192920000,3
araya,1390193040000,9
araya,1390193160000,5
araya,1390193280000,5
araya,1390193400000,9
araya,1390193520000,3
araya,1390193640000,10
araya,1390193760000,7
araya,1390193880000,10
araya,1390194000000,6
araya,1390194120000,4
araya,1390194240000,2
araya,1390194360000,3
araya,1390194480000,0
araya,1390194600000,2
araya,1390194720000,0
araya,1390194840000,2
araya,1390194960000,2
araya,1390195080000,0
araya,1390195200000,6
araya,1390195320000,1
araya,1390195440000,3
araya,1390195560000,3
araya,1390195680000,0
araya,1390195800000,0
araya,1390195920000,0
araya,1390196040000,3
araya,1390196160000,4
araya,1390196280000,3
araya,1390196400000,2
araya,1390196520000,0
araya,1390196640000,4
araya,1390196760000,1
araya,1390196880000,1
araya,1390197000000,3
araya,1390197120000,2
araya,1390197240000,2
araya,1390197360000,0
araya,1390197480000,0
guevara,1390176000000,0
guevara,1390176120000,0
guevara,1390176240000,0
guevara,1390176360000,0
guevara,1390176480000,0
guevara,1390176600000,0
guevara,1390176720000,0
guevara,1390176840000,0
guevara,1390176960000,0
guevara,1390177080000,0
guevara,1390177200000,0
guevara,1390177320000,0
guevara,1390177440000,0
guevara,1390177560000,0
guevara,1390177680000,0
guevara,1390177800000,0
guevara,1390177920000,0
guevara,1390178040000,0
guevara,1390178160000,0
guevara,1390178280000,0
guevara,1390178400000,1
guevara,1390178520000,0
guevara,1390178640000,0
guevara,1390178760000,0
guevara,1390178880000,0
guevara,1390179000000,0
guevara,1390179120000,1
guevara,1390179240000,1
guevara,1390179360000,1
guevara,1390179480000,0
guevara,1390179600000,4
guevara,1390179720000,2
guevara,1390179840000,3
guevara,1390179960000,4
guevara,1390180080000,32
guevara,1390180200000,25
guevara,1390180320000,6
guevara,1390180440000,9
guevara,1390180560000,18
guevara,1390180680000,34
guevara,1390180800000,30
guevara,1390180920000,8
guevara,1390181040000,13
guevara,1390181160000,29
guevara,1390181280000,21
guevara,1390181400000,11
guevara,1390181520000,10
guevara,1390181640000,17
guevara,1390181760000,8
guevara,1390181880000,23
guevara,1390182000000,28
guevara,1390182120000,22
guevara,1390182240000,25
guevara,1390182360000,26
guevara,1390182480000,18
guevara,1390182600000,8
guevara,1390182720000,11
guevara,1390182840000,6
guevara,1390182960000,16
guevara,1390183080000,26
guevara,1390183200000,7
guevara,1390183320000,19
guevara,1390183440000,25
guevara,1390183560000,24
guevara,1390183680000,30
guevara,1390183800000,26
guevara,1390183920000,19
guevara,1390184040000,30
guevara,1390184160000,34
guevara,1390184280000,31
guevara,1390184400000,17
guevara,1390184520000,19
guevara,1390184640000,33
guevara,1390184760000,14
guevara,1390184880000,13
guevara,1390185000000,7
guevara,1390185120000,15
guevara,1390185240000,5
guevara,1390185360000,13
guevara,1390185480000,6
guevara,1390185600000,3
guevara,1390185720000,3
guevara,1390185840000,19
guevara,1390185960000,29
guevara,1390186080000,32
guevara,1390186200000,13
guevara,1390186320000,5
guevara,1390186440000,15
guevara,1390186560000,10
guevara,1390186680000,8
guevara,1390186800000,8
guevara,1390186920000,3
guevara,1390187040000,5
guevara,1390187160000,12
guevara,1390187280000,3
guevara,1390187400000,2
guevara,1390187520000,1
guevara,1390187640000,10
guevara,1390187760000,11
guevara,1390187880000,6
guevara,1390188000000,4
guevara,1390188120000,5
guevara,1390188240000,4
guevara,1390188360000,9
guevara,1390188480000,1
guevara,1390188600000,4
guevara,1390188720000,22
guevara,1390188840000,18
guevara,1390188960000,8
guevara,1390189080000,5
guevara,1390189200000,7
guevara,1390189320000,8
guevara,1390189440000,4
guevara,1390189560000,2
guevara,1390189680000,2
guevara,1390189800000,2
guevara,1390189920000,0
guevara,1390190040000,5
guevara,1390190160000,1
guevara,1390190280000,2
guevara,1390190400000,2
guevara,1390190520000,0
guevara,1390190640000,1
guevara,1390190760000,2
guevara,1390190880000,0
guevara,1390191000000,0
guevara,1390191120000,0
guevara,1390191240000,0
guevara,1390191360000,2
guevara,1390191480000,0
guevara,1390191600000,0
guevara,1390191720000,0
guevara,1390191840000,0
guevara,1390191960000,1
guevara,1390192080000,0
guevara,1390192200000,0
guevara,1390192320000,0
guevara,1390192440000,0
guevara,1390192560000,0
guevara,1390192680000,0
guevara,1390192800000,0
guevara,1390192920000,0
guevara,1390193040000,0
guevara,1390193160000,0
guevara,1390193280000,0
guevara,1390193400000,0
guevara,1390193520000,0
guevara,1390193640000,0
guevara,1390193760000,0
guevara,1390193880000,0
guevara,1390194000000,1
guevara,1390194120000,0
guevara,1390194240000,1
guevara,1390194360000,0
guevara,1390194480000,1
guevara,1390194600000,0
guevara,1390194720000,0
guevara,1390194840000,0
guevara,1390194960000,0
guevara,1390195080000,0
guevara,1390195200000,2
guevara,1390195320000,1
guevara,1390195440000,0
guevara,1390195560000,1
guevara,1390195680000,0
guevara,1390195800000,0
guevara,1390195920000,0
guevara,1390196040000,0
guevara,1390196160000,0
guevara,1390196280000,0
guevara,1390196400000,0
guevara,1390196520000,0
guevara,1390196640000,1
guevara,1390196760000,0
guevara,1390196880000,0
guevara,1390197000000,0
guevara,1390197120000,0
guevara,1390197240000,0
guevara,1390197360000,0
guevara,1390197480000,0
piza,1390176000000,0
piza,1390176120000,0
piza,1390176240000,0
piza,1390176360000,0
piza,1390176480000,0
piza,1390176600000,0
piza,1390176720000,0
piza,1390176840000,0
piza,1390176960000,0
piza,1390177080000,0
piza,1390177200000,0
piza,1390177320000,0
piza,1390177440000,0
piza,1390177560000,0
piza,1390177680000,0
piza,1390177800000,0
piza,1390177920000,0
piza,1390178040000,0
piza,1390178160000,1
piza,1390178280000,0
piza,1390178400000,0
piza,1390178520000,0
piza,1390178640000,0
piza,1390178760000,1
piza,1390178880000,0
piza,1390179000000,0
piza,1390179120000,1
piza,1390179240000,1
piza,1390179360000,0
piza,1390179480000,1
piza,1390179600000,1
piza,1390179720000,3
piza,1390179840000,1
piza,1390179960000,0
piza,1390180080000,1
piza,1390180200000,11
piza,1390180320000,8
piza,1390180440000,3
piza,1390180560000,3
piza,1390180680000,2
piza,1390180800000,4
piza,1390180920000,1
piza,1390181040000,3
piza,1390181160000,2
piza,1390181280000,3
piza,1390181400000,8
piza,1390181520000,7
piza,1390181640000,9
piza,1390181760000,8
piza,1390181880000,10
piza,1390182000000,18
piza,1390182120000,11
piza,1390182240000,15
piza,1390182360000,10
piza,1390182480000,15
piza,1390182600000,16
piza,1390182720000,12
piza,1390182840000,0
piza,1390182960000,2
piza,1390183080000,5
piza,1390183200000,7
piza,1390183320000,14
piza,1390183440000,18
piza,1390183560000,8
piza,1390183680000,5
piza,1390183800000,2
piza,1390183920000,3
piza,1390184040000,6
piza,1390184160000,6
piza,1390184280000,10
piza,1390184400000,16
piza,1390184520000,11
piza,1390184640000,15
piza,1390184760000,13
piza,1390184880000,10
piza,1390185000000,15
