key,date,value
araya,1390176000000,0
araya,1390176240000,0
araya,1390176480000,0
araya,1390176720000,0
araya,1390176960000,0
araya,1390177200000,1
araya,1390177440000,7
araya,1390177680000,7
araya,1390177920000,12
araya,1390178160000,14
araya,1390178400000,76
araya,1390178640000,74
araya,1390178880000,68
araya,1390179120000,41
araya,1390179360000,85
araya,1390179600000,166
araya,1390179840000,204
araya,1390180080000,275
araya,1390180320000,331
araya,1390180560000,347
araya,1390180800000,380
araya,1390181040000,320
araya,1390181280000,257
araya,1390181520000,342
araya,1390181760000,320
araya,1390182000000,175
araya,1390182240000,309
araya,1390182480000,241
araya,1390182720000,255
araya,1390182960000,391
araya,1390183200000,245
araya,1390183440000,293
araya,1390183680000,299
araya,1390183920000,213
araya,1390184160000,225
araya,1390184400000,278
araya,1390184640000,252
araya,1390184880000,245
araya,1390185120000,184
araya,1390185360000,97
araya,1390185600000,89
araya,1390185840000,125
araya,1390186080000,180
araya,1390186320000,247
araya,1390186560000,189
araya,1390186800000,159
araya,1390187040000,322
araya,1390187280000,242
araya,1390187520000,159
araya,1390187760000,164
araya,1390188000000,136
araya,1390188240000,193
araya,1390188480000,292
araya,1390188720000,276
araya,1390188960000,91
araya,1390189200000,59
araya,1390189440000,51
araya,1390189680000,71
araya,1390189920000,22
araya,1390190160000,23
araya,1390190400000,22
araya,1390190640000,9
araya,1390190880000,9
araya,1390191120000,7
araya,1390191360000,6
araya,1390191600000,11
araya,1390191840000,18
araya,1390192080000,14
araya,1390192320000,10
araya,1390192560000,10
araya,1390192800000,8
araya,1390193040000,14
araya,1390193280000,14
araya,1390193520000,13
araya,1390193760000,17
araya,1390194000000,10
araya,1390194240000,5
araya,1390194480000,2
araya,1390194720000,2
araya,1390194960000,2
araya,1390195200000,7
araya,1390195440000,6
araya,1390195680000,0
araya,1390195920000,3
araya,1390196160000,7
araya,1390196400000,2
araya,1390196640000,5
araya,1390196880000,4
araya,1390197120000,4
araya,1390197360000,0
guevara,1390176000000,0
guevara,1390176240000,0
guevara,1390176480000,0
guevara,1390176720000,0
guevara,1390176960000,0
guevara,1390177200000,0
guevara,1390177440000,0
guevara,1390177680000,0
guevara,1390177920000,0
guevara,1390178160000,0
guevara,1390178400000,1
guevara,1390178640000,0
guevara,1390178880000,0
guevara,1390179120000,2
guevara,1390179360000,1
guevara,1390179600000,6
guevara,1390179840000,7
guevara,1390180080000,57
guevara,1390180320000,15
guevara,1390180560000,52
guevara,1390180800000,38
guevara,1390181040000,42
guevara,1390181280000,32
guevara,1390181520000,27
guevara,1390181760000,31
guevara,1390182000000,50
guevara,1390182240000,51
guevara,1390182480000,26
guevara,1390182720000,17
guevara,1390182960000,42
guevara,1390183200000,26
guevara,1390183440000,49
guevara,1390183680000,56
guevara,1390183920000,49
guevara,1390184160000,65
guevara,1390184400000,36
guevara,1390184640000,47
guevara,1390184880000,20
guevara,1390185120000,20
guevara,1390185360000,19
guevara,1390185600000,6
guevara,1390185840000,48
guevara,1390186080000,45
guevara,1390186320000,20
guevara,1390186560000,18
guevara,1390186800000,11
guevara,1390187040000,17
guevara,1390187280000,5
guevara,1390187520000,11
guevara,1390187760000,17
guevara,1390188000000,9
guevara,1390188240000,13
guevara,1390188480000,5
guevara,1390188720000,40
guevara,1390188960000,13
guevara,1390189200000,15
guevara,1390189440000,6
guevara,1390189680000,4
guevara,1390189920000,5
guevara,1390190160000,3
guevara,1390190400000,2
guevara,1390190640000,3
guevara,1390190880000,0
guevara,1390191120000,0
guevara,1390191360000,2
guevara,1390191600000,0
guevara,1390191840000,1
guevara,1390192080000,0
guevara,1390192320000,0
guevara,1390192560000,0
guevara,1390192800000,0
guevara,1390193040000,0
guevara,1390193280000,0
guevara,1390193520000,0
guevara,1390193760000,0
guevara,1390194000000,1
guevara,1390194240000,1
guevara,1390194480000,1
guevara,1390194720000,0
guevara,1390194960000,0
guevara,1390195200000,3
guevara,1390195440000,1
guevara,1390195680000,0
guevara,1390195920000,0
guevara,1390196160000,0
guevara,1390196400000,0
guevara,1390196640000,1
guevara,1390196880000,0
guevara,1390197120000,0
guevara,1390197360000,0
piza,1390176000000,0
piza,1390176240000,0
piza,1390176480000,0
piza,1390176720000,0
piza,1390176960000,0
piza,1390177200000,0
piza,1390177440000,0
piza,1390177680000,0
piza,1390177920000,0
piza,1390178160000,1
piza,1390178400000,0
piza,1390178640000,1
piza,1390178880000,0
piza,1390179120000,2
piza,1390179360000,1
piza,1390179600000,4
piza,1390179840000,1
piza,1390180080000,12
piza,1390180320000,11
piza,1390180560000,5
piza,1390180800000,5
piza,1390181040000,5
piza,1390181280000,11
piza,1390181520000,16
piza,1390181760000,18
piza,1390182000000,29
piza,1390182240000,25
piza,1390182480000,31
piza,1390182720000,12
piza,1390182960000,7
piza,1390183200000,21
piza,1390183440000,26
piza,1390183680000,7
piza,1390183920000,9
piza,1390184160000,16
piza,1390184400000,27
piza,1390184640000,28
piza,1390184880000,25
piza,1390185120000,43
piza,1390185360000,22
piza,1390185600000,15
piza,1390185840000,15
piza,1390186080000,8
piza,1390186320000,18
piza,1390186560000,40
piza,1390186800000,22
piza,1390187040000,10
piza,1390187280000,4
piza,1390187520000,4
piza,1390187760000,44
piza,1390188000000,37
piza,1390188240000,44
piza,1390188480000,53
piza,1390188720000,26
piza,1390188960000,9
piza,1390189200000,8
piza,1390189440000,7
piza,1390189680000,4
piza,1390189920000,6
piza,1390190160000,1
piza,1390190400000,7
piza,1390190640000,7
piza,1390190880000,3
piza,1390191120000,2
piza,1390191360000,1
piza,1390191600000,6
piza,1390191840000,1
piza,1390192080000,4
piza,1390192320000,5
piza,1390192560000,2
piza,1390192800000,0
piza,1390193040000,1
piza,1390193280000,2
piza,1390193520000,5
piza,1390193760000,0
piza,1390194000000,1
piza,1390194240000,0
piza,1390194480000,1
piza,1390194720000,1
piza,1390194960000,0
piza,1390195200000,1
piza,1390195440000,0
piza,1390195680000,0
piza,1390195920000,1
piza,1390196160000,4
piza,1390196400000,0
piza,1390196640000,1
piza,1390196880000,0
piza,1390197120000,0
piza,1390197360000,1
solis,1390176000000,0
solis,1390176240000,0
solis,1390176480000,0
solis,1390176720000,0
solis,1390176960000,0
solis,1390177200000,3
solis,1390177440000,9
solis,1390177680000,8
solis,1390177920000,1
solis,1390178160000,9
solis,1390178400000,20
solis,1390178640000,13
solis,1390178880000,12
solis,1390179120000,16
solis,1390179360000,37
solis,1390179600000,61
solis,1390179840000,186
solis,1390180080000,141
solis,1390180320000,181
solis,1390180560000,329
solis,1390180800000,158
solis,1390181040000,144
solis,1390181280000,154
solis,1390181520000,207
solis,1390181760000,218
solis,1390182000000,96
solis,1390182240000,350
solis,1390182480000,250
solis,1390182720000,157
solis,1390182960000,130
solis,1390183200000,367
solis,1390183440000,252
solis,1390183680000,203
solis,1390183920000,208
solis,1390184160000,222
solis,1390184400000,225
solis,1390184640000,316
solis,1390184880000,436
solis,1390185120000,277
solis,1390185360000,505
solis,1390185600000,244
solis,1390185840000,194
solis,1390186080000,176
solis,1390186320000,183
solis,1390186560000,223
solis,1390186800000,434
solis,1390187040000,515
solis,1390187280000,272
solis,1390187520000,262
solis,1390187760000,387
solis,1390188000000,327
solis,1390188240000,288
solis,1390188480000,494
solis,1390188720000,310
solis,1390188960000,215
solis,1390189200000,151
solis,1390189440000,100
solis,1390189680000,84
solis,1390189920000,61
solis,1390190160000,59
solis,1390190400000,54
solis,1390190640000,36
solis,1390190880000,34
solis,1390191120000,35
solis,1390191360000,34
solis,1390191600000,31
solis,1390191840000,25
solis,1390192080000,18
solis,1390192320000,18
solis,1390192560000,22
solis,1390192800000,17
solis,1390193040000,18
solis,1390193280000,24
solis,1390193520000,18
solis,1390193760000,11
solis,1390194000000,12
solis,1390194240000,10
solis,1390194480000,8
solis,1390194720000,14
solis,1390194960000,6
solis,1390195200000,10
solis,1390195440000,7
solis,1390195680000,10
solis,1390195920000,6
solis,1390196160000,5
solis,1390196400000,5
solis,1390196640000,6
solis,1390196880000,2
solis,1390197120000,7
solis,1390197360000,5
villalta,1390176000000,0
villalta,1390176240000,0
villalta,1390176480000,0
villalta,1390176720000,0
villalta,1390176960000,0
villalta,1390177200000,2
villalta,1390177440000,10
villalta,1390177680000,3
villalta,1390177920000,3
villalta,1390178160000,4
villalta,1390178400000,1
villalta,1390178640000,2
villalta,1390178880000,10
villalta,1390179120000,9
villalta,1390179360000,17
villalta,1390179600000,25
villalta,1390179840000,17
villalta,1390180080000,36
villalta,1390180320000,75
villalta,1390180560000,36
villalta,1390180800000,79
villalta,1390181040000,89
villalta,1390181280000,128
villalta,1390181520000,138
villalta,1390181760000,132
villalta,1390182000000,215
villalta,1390182240000,140
villalta,1390182480000,108
villalta,1390182720000,77
villalta,1390182960000,75
villalta,1390183200000,100
villalta,1390183440000,89
villalta,1390183680000,104
villalta,1390183920000,126
villalta,1390184160000,146
villalta,1390184400000,150
villalta,1390184640000,119
villalta,1390184880000,106
villalta,1390185120000,107
villalta,1390185360000,83
villalta,1390185600000,57
villalta,1390185840000,124
villalta,1390186080000,102
villalta,1390186320000,90
villalta,1390186560000,111
villalta,1390186800000,104
villalta,1390187040000,48
villalta,1390187280000,126
villalta,1390187520000,147
villalta,1390187760000,99
villalta,1390188000000,79
villalta,1390188240000,127
villalta,1390188480000,81
villalta,1390188720000,45
villalta,1390188960000,29
villalta,1390189200000,20
villalta,1390189440000,16
villalta,1390189680000,27
villalta,1390189920000,17
villalta,1390190160000,26
villalta,1390190400000,23
villalta,1390190640000,15
villalta,1390190880000,9
villalta,1390191120000,25
